Column2,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
43,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
44, NO, NO, NO, NO, NO,YES, NO,YES, NO, NO,YES, NO
45, NO, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
46, NO, NO, NO, NO, NO,YES, NO,YES, NO, NO,YES, NO
47,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
48,YES, NO, NO, NO, NO, NO, NO,YES, NO,YES,YES, NO
49, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO
50, NO, NO,YES, NO, NO,YES, NO,YES, NO,YES, NO, NO
51, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO
52,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO
53,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
54,YES, NO, NO,YES, NO,YES, NO, NO, NO,YES, NO, NO
55, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO
56,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO
57,YES, NO, NO,YES, NO, NO, NO, NO, NO,YES, NO, NO
58, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO
59, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO
60,YES, NO, NO,YES, NO, NO, NO, NO, NO,YES, NO, NO
61,YES, NO, NO,YES, NO, NO, NO,YES, NO,YES, NO, NO
62, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO
63, NO, NO,YES,YES, NO,YES, NO, NO, NO, NO,YES, NO
64,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
65,YES, NO, NO,YES, NO,YES, NO, NO, NO,YES, NO, NO
66, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO
1,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
2,YES, NO, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO
3,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
4, NO, NO,YES, NO,YES,YES, NO, NO, NO, NO, NO,YES
5, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO, NO,YES
6,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
7, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
8, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES
9, NO, NO, NO, NO,YES, NO,YES,YES, NO, NO, NO,YES
10,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
11, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
12, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES
13,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
14,YES, NO,YES, NO,YES, NO, NO, NO, NO, NO, NO,YES
15,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
16, NO, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
17, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO,YES
18, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES
19, NO, NO,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES
20,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
21,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
22,YES, NO, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO
23,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
24, NO, NO,YES, NO,YES,YES, NO, NO, NO, NO, NO,YES
25, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO, NO,YES
26,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
27, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
28, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES
29, NO, NO, NO, NO,YES, NO,YES,YES, NO, NO, NO,YES
30,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
31, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
32, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES
33,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
34,YES, NO,YES, NO,YES, NO, NO, NO, NO, NO, NO,YES
35,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
36, NO, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
37, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO,YES
38, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES
39, NO, NO,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES
40,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
41,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
42,YES, NO, NO, NO,YES, NO,YES, NO, NO,YES, NO, NO
43, NO, NO,YES, NO, NO, NO, NO, NO,YES, NO, NO,YES
44,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
45,YES, NO, NO, NO, NO, NO, NO,YES, NO,YES, NO, NO
46, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO, NO,YES
47, NO, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES
48,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
49,YES, NO, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO
50, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES
51, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES
52,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
53, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO, NO,YES
54, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO, NO,YES
55,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
56,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES
57,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
58, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES
59, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
60, NO, NO,YES, NO, NO, NO,YES,YES, NO,YES, NO, NO
61, NO, NO,YES, NO,YES, NO,YES, NO, NO, NO, NO, NO
62, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO, NO
63, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES
64, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES
65, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO, NO,YES
66,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
67, NO, NO,YES, NO, NO, NO, NO,YES, NO,YES, NO, NO
68, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO
69, NO,YES, NO, NO,YES, NO, NO, NO, NO, NO,YES, NO
70, NO,YES, NO, NO,YES,YES, NO, NO, NO, NO,YES, NO
71, NO, NO,YES, NO,YES, NO, NO,YES, NO,YES, NO, NO
72, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
73, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO
74, NO, NO,YES, NO, NO,YES, NO,YES, NO,YES, NO, NO
75, NO, NO,YES, NO,YES, NO, NO, NO, NO,YES, NO, NO
76,YES, NO,YES, NO, NO, NO, NO, NO, NO,YES, NO, NO
77, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES
78, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES
79, NO, NO,YES, NO,YES, NO, NO, NO, NO,YES, NO, NO
80,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
81,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO,YES
82,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
83, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO,YES
84, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES
85, NO, NO,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES
86, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
1, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
2, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO
3, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO
4, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
5, NO,YES,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
6, NO, NO,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES
7, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
8, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO,YES
9, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES
10, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
11, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
12, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO
13, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO
14, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES
15, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO, NO,YES
16, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO
17, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO, NO
18, NO, NO,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES
19, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
20, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO,YES
21, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES
22, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
23, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
24, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO
25, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO
26, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
27, NO,YES,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
28, NO, NO,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES
29, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
30, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO,YES
31, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES
32, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
33, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
34, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO
35, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO
36, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES
37, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO, NO,YES
38, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO
39, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO, NO
40, NO, NO,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES
41, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
42, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO,YES
43, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES
44, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
45, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
46, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
47, NO, NO,YES, NO, NO, NO, NO, NO,YES, NO, NO,YES
48, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
49, NO, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES
50, NO, NO, NO, NO, NO, NO,YES, NO, NO,YES, NO,YES
51, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO
52, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO
53, NO, NO,YES, NO, NO, NO,YES, NO,YES, NO, NO,YES
54, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO
55, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO
56, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,YES
57, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES
58, NO, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
59, NO, NO,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES
60, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
61, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO, NO
62, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES
63, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,YES
64, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES
65, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO
66, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO
67, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
68, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
69, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES
70, NO, NO, NO, NO, NO, NO,YES, NO, NO, NO, NO,YES
71, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES
72, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
73, NO, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO,YES
74, NO,YES, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO
75, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
76, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
77, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES
78, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES
79, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO,YES
80, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES
81, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO,YES
82, NO,YES, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
83, NO,YES, NO, NO,YES, NO,YES, NO, NO, NO,YES, NO
84, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES
85, NO,YES, NO, NO, NO, NO, NO,YES, NO, NO, NO,YES
86, NO,YES, NO, NO,YES, NO,YES, NO, NO, NO, NO,YES
87, NO,YES, NO, NO,YES, NO,YES, NO, NO, NO,YES, NO
88, NO, NO, NO,YES, NO, NO, NO, NO, NO, NO, NO,YES
89, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES
90, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
91, NO,YES, NO, NO,YES, NO, NO, NO,YES,YES, NO, NO
92, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO
93, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES
94, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO,YES
95, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES
96, NO,YES, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES
97, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO, NO
98, NO,YES, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
99, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
100, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
101, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES
102, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO, NO
103, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES
104, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
105, NO, NO, NO, NO,YES, NO,YES, NO, NO, NO, NO,YES
106, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,YES
107, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES
108, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO
109, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO
110, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO, NO
111, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES
112, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES
113, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,YES
114, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO
115, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES
116, NO,YES,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
117, NO,YES,YES, NO, NO, NO, NO, NO,YES,YES, NO, NO
118, NO,YES, NO,YES, NO, NO, NO, NO, NO,YES, NO, NO
119, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES
120, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO
121, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
122, NO, NO,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES
123, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
124, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES
125, NO, NO,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES
126, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO
127, NO,YES, NO, NO, NO, NO,YES, NO,YES,YES, NO, NO
128, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
129, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO,YES
130, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
131, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES
132, NO, NO,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES
133, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
1, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES
2,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO
3,YES, NO,YES,YES, NO, NO, NO,YES, NO, NO, NO, NO
4,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO
5,YES, NO, NO,YES, NO,YES, NO, NO, NO,YES, NO, NO
6, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES
7,YES, NO,YES,YES, NO, NO, NO,YES, NO, NO, NO, NO
8,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO
9,YES, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO, NO
10, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO, NO,YES
11,YES, NO, NO,YES, NO, NO, NO, NO, NO, NO, NO, NO
12,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO
13,YES, NO, NO,YES, NO, NO, NO, NO, NO,YES, NO, NO
14, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO
15, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES,YES, NO
16,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO
17,YES, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO, NO
18,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO
19,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO
20,YES, NO, NO,YES, NO, NO, NO, NO, NO,YES, NO, NO
21,YES, NO, NO,YES, NO, NO, NO,YES, NO,YES, NO, NO
22, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO,YES, NO
23, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO
24,YES, NO,YES, NO, NO, NO, NO,YES, NO,YES, NO, NO
25,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
26, NO, NO, NO, NO, NO, NO, NO,YES, NO, NO, NO,YES
27, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES
28,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO
29,YES, NO,YES,YES, NO, NO, NO,YES, NO, NO, NO, NO
30,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO
31,YES, NO, NO,YES, NO,YES, NO, NO, NO,YES, NO, NO
32, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES
33,YES, NO,YES,YES, NO, NO, NO,YES, NO, NO, NO, NO
34,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO
35,YES, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO, NO
36, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO, NO,YES
37,YES, NO, NO,YES, NO, NO, NO, NO, NO, NO, NO, NO
38,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO
39,YES, NO, NO,YES, NO, NO, NO, NO, NO,YES, NO, NO
40, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO
41, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES,YES, NO
42,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO
43,YES, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO, NO
44,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO
45,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO
46,YES, NO, NO,YES, NO, NO, NO, NO, NO,YES, NO, NO
47,YES, NO, NO,YES, NO, NO, NO,YES, NO,YES, NO, NO
48, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO,YES, NO
49, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO
50,YES, NO,YES, NO, NO, NO, NO,YES, NO,YES, NO, NO
51,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
52, NO, NO, NO, NO, NO, NO, NO,YES, NO, NO, NO,YES
53, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO
54, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO
55,YES, NO, NO,YES, NO, NO, NO, NO, NO, NO,YES, NO
56, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO
57,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,YES, NO
58, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO
59, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO
60,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO
61,YES, NO,YES, NO, NO,YES, NO, NO,YES, NO, NO, NO
62, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO
63, NO, NO, NO,YES, NO, NO, NO,YES,YES, NO,YES, NO
64, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO
65, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,YES, NO
66, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO
67, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO
68,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO
69, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES
70, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO, NO,YES
71,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO
72,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO
73,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO
74,YES, NO, NO, NO, NO,YES, NO,YES, NO, NO, NO, NO
75,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO, NO, NO
76,YES, NO,YES, NO, NO,YES, NO, NO,YES, NO, NO, NO
77,YES, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO, NO
78, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES
79, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO, NO,YES
80,YES, NO, NO,YES, NO, NO, NO, NO, NO, NO, NO, NO
81, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES
82,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO
83,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO
84, NO, NO, NO,YES, NO,YES, NO, NO,YES, NO, NO, NO
85, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO, NO, NO
86, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO
87, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO
88,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
89,YES, NO, NO,YES, NO, NO, NO, NO, NO,YES, NO, NO
90, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO
91,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES,YES, NO
92,YES, NO, NO, NO, NO,YES, NO,YES, NO, NO,YES, NO
93,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO
94, NO, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
95,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
96, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO
97, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES,YES, NO
98,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO
99,YES, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO, NO
100,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO
101,YES, NO, NO,YES, NO, NO, NO,YES, NO,YES, NO, NO
102, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO
103,YES, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO
104, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
105,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
106, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO
107, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO
108,YES, NO, NO,YES, NO, NO, NO,YES, NO,YES, NO, NO
109, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
110,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
111, NO, NO, NO, NO, NO, NO, NO,YES, NO, NO, NO,YES
1,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
2, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES
3,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
4,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES
5, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
6,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
7,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
8, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES
9,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
10, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
11, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES
12,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
13, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES
